tstamp,temp,hum,light,co,no2,noise
20170213191500,22.77,36.05,2.90,1.17,148.85,53.82
20170213193000,23.07,35.92,2.90,1.17,149.90,54.41
20170213194500,23.34,34.87,2.80,1.17,148.66,61.83
20170213200000,23.04,35.10,2.76,1.17,149.10,52.74
20170213201500,22.97,35.08,2.70,1.17,149.56,50
20170213203000,22.36,35.50,2.48,1.17,147.95,55.48
20170213204500,22.44,35.06,2.27,1.17,146.31,57.53
20170213210000,22.24,35.11,2.20,1.17,149.27,50
20170213211500,22.21,34.70,0,1.17,150.09,50
20170213213000,22.67,33.52,0,1.17,148.91,51.34
20170213214500,22.24,33.74,0,1.17,149.07,56.46
20170213220000,22.03,33.66,0,1.17,149.08,50
20170213221500,21.78,33.91,0,1.17,149.37,57.74
20170213223000,22.04,33.22,0,1.17,148.89,50
20170213224500,21.54,33.91,0,1.17,149.19,50
20170213230000,21.60,33.66,0,1.17,148.84,57.62
20170213231500,21.75,33.22,0,1.17,148.56,56.79
20170213233000,21.33,33.78,0,1.17,149.08,50
20170213234500,21.24,33.85,0,1.17,148.61,55.60
20170214000000,21.04,33.94,0,1.17,148.53,56.30
20170214001500,21.19,33.43,0,1.17,147.43,57.77
20170214003000,20.97,33.64,0,1.17,147.55,50
20170214004500,20.64,34.11,0,1.17,148.04,50
20170214010000,20.60,34.09,0,1.17,148.10,54.75
20170214011500,20.61,33.96,0,1.17,147.89,50
20170214013000,20.50,34.03,0,1.17,147.92,50
20170214014500,20.77,33.36,0,1.17,147.66,58.42
20170214020000,20.90,32.98,0,1.17,147.37,53.67
20170214021500,20.77,32.88,0,1.17,147.11,50
20170214023000,20.53,33.26,0,1.17,147.51,54.12
20170214024500,20.68,33.04,0,1.17,147.39,55.86
20170214030000,20.70,32.83,0,1.17,147.09,55.59
20170214031500,20.67,32.71,0,1.17,147.21,50
20170214033000,20.71,32.41,0,1.17,147.17,57.47
20170214034500,20.68,32.30,0,1.17,147.28,57.09
20170214040000,20.76,32,0,1.17,147.22,57.52
20170214041500,20.65,31.90,0,1.17,147.19,58.33
20170214043000,20.63,31.77,0,1.17,147.41,56.02
20170214044500,20.44,31.81,0,1.17,147.45,53.93
20170214050000,20.41,31.49,0,1.17,147.53,53.08
